ProductName,Vendor,ClassType,CommonCode,BeverageType,Size,VendorNumber,ClassID,ClassTypeName,ClassTypeNo,Brand,CommonCodeName,CommonCodeNo,Listed_NonListed,PackSize,PackSizeInd,Bottles
KETEL ONE CITROEN VODKA - VODKA IMPORTD - 750 ML,DIAGEO  ( 1967 ),VODKA IMPORTD  ( 3200 ),KETEL ONE CIT VK  ( 909700 ),Spirit,750 ML,1967,Vodka,VODKA IMPORTD,3200,KETEL ONE CITROEN VODKA,KETEL ONE CIT VK,909700,Non-Listed,12,Actual,152
KETEL ONE CITROEN VODKA - VODKA IMPORTD - 750 ML,DIAGEO  ( 1967 ),VODKA IMPORTD  ( 3200 ),KETEL ONE CIT VK  ( 909700 ),Spirit,750 ML,1967,Vodka,VODKA IMPORTD,3200,KETEL ONE CITROEN VODKA,KETEL ONE CIT VK,909700,Non-Listed,12,Actual,162
KETEL ONE DUTCH VODKA - VODKA IMPORTD - 1.0 LTR,DIAGEO  ( 1967 ),VODKA IMPORTD  ( 3200 ),KETEL ONE VK 80  ( 266100 ),Spirit,1.0 LTR,1967,Vodka,VODKA IMPORTD,3200,KETEL ONE DUTCH VODKA,KETEL ONE VK 80,266100,Listed,12,Actual,1852
KETEL ONE DUTCH VODKA - VODKA IMPORTD - 1.0 LTR,DIAGEO  ( 1967 ),VODKA IMPORTD  ( 3200 ),KETEL ONE VK 80  ( 266100 ),Spirit,1.0 LTR,1967,Vodka,VODKA IMPORTD,3200,KETEL ONE DUTCH VODKA,KETEL ONE VK 80,266100,Listed,12,Actual,2445
KETEL ONE DUTCH VODKA - VODKA IMPORTD - 1.75 LTR,DIAGEO  ( 1967 ),VODKA IMPORTD  ( 3200 ),KETEL ONE VK 80  ( 266100 ),Spirit,1.75 LTR,1967,Vodka,VODKA IMPORTD,3200,KETEL ONE DUTCH VODKA,KETEL ONE VK 80,266100,Listed,6,Actual,814
KETEL ONE DUTCH VODKA - VODKA IMPORTD - 1.75 LTR,DIAGEO  ( 1967 ),VODKA IMPORTD  ( 3200 ),KETEL ONE VK 80  ( 266100 ),Spirit,1.75 LTR,1967,Vodka,VODKA IMPORTD,3200,KETEL ONE DUTCH VODKA,KETEL ONE VK 80,266100,Listed,6,Actual,921
KETEL ONE DUTCH VODKA - VODKA IMPORTD - 375 ML,DIAGEO  ( 1967 ),VODKA IMPORTD  ( 3200 ),KETEL ONE VK 80  ( 266100 ),Spirit,375 ML,1967,Vodka,VODKA IMPORTD,3200,KETEL ONE DUTCH VODKA,KETEL ONE VK 80,266100,Listed,12,Actual,798
KETEL ONE DUTCH VODKA - VODKA IMPORTD - 375 ML,DIAGEO  ( 1967 ),VODKA IMPORTD  ( 3200 ),KETEL ONE VK 80  ( 266100 ),Spirit,375 ML,1967,Vodka,VODKA IMPORTD,3200,KETEL ONE DUTCH VODKA,KETEL ONE VK 80,266100,Listed,12,Actual,924
KETEL ONE DUTCH VODKA - VODKA IMPORTD - 50 ML,DIAGEO  ( 1967 ),VODKA IMPORTD  ( 3200 ),KETEL ONE VK 80  ( 266100 ),Spirit,50 ML,1967,Vodka,VODKA IMPORTD,3200,KETEL ONE DUTCH VODKA,KETEL ONE VK 80,266100,Listed,120,Actual,1002
KETEL ONE DUTCH VODKA - VODKA IMPORTD - 50 ML,DIAGEO  ( 1967 ),VODKA IMPORTD  ( 3200 ),KETEL ONE VK 80  ( 266100 ),Spirit,50 ML,1967,Vodka,VODKA IMPORTD,3200,KETEL ONE DUTCH VODKA,KETEL ONE VK 80,266100,Listed,120,Actual,1253
KETEL ONE DUTCH VODKA - VODKA IMPORTD - 750 ML,DIAGEO  ( 1967 ),VODKA IMPORTD  ( 3200 ),KETEL ONE VK 80  ( 266100 ),Spirit,750 ML,1967,Vodka,VODKA IMPORTD,3200,KETEL ONE DUTCH VODKA,KETEL ONE VK 80,266100,Listed,12,Actual,1090
KETEL ONE DUTCH VODKA - VODKA IMPORTD - 750 ML,DIAGEO  ( 1967 ),VODKA IMPORTD  ( 3200 ),KETEL ONE VK 80  ( 266100 ),Spirit,750 ML,1967,Vodka,VODKA IMPORTD,3200,KETEL ONE DUTCH VODKA,KETEL ONE VK 80,266100,Listed,12,Actual,1382
KETEL ONE ORANJE FLAVORED VODKA - VODKA IMPORTD - 750 ML,DIAGEO  ( 1967 ),VODKA IMPORTD  ( 3200 ),KETEL ONE ORANJE  ( 1174346 ),Spirit,750 ML,1967,Vodka,VODKA IMPORTD,3200,KETEL ONE ORANJE FLAVORED VODKA,KETEL ONE ORANJE,1174346,Non-Listed,12,Actual,22
KETEL ONE ORANJE FLAVORED VODKA - VODKA IMPORTD - 750 ML,DIAGEO  ( 1967 ),VODKA IMPORTD  ( 3200 ),KETEL ONE ORANJE  ( 1174346 ),Spirit,750 ML,1967,Vodka,VODKA IMPORTD,3200,KETEL ONE ORANJE FLAVORED VODKA,KETEL ONE ORANJE,1174346,Non-Listed,12,Actual,34
KETEL ONE SHAKER SET - VODKA IMPORTD - 750 ML,DIAGEO  ( 1967 ),VODKA IMPORTD  ( 3200 ),KETEL ONE VK 80  ( 266100 ),Spirit,750 ML,1967,Vodka,VODKA IMPORTD,3200,KETEL ONE SHAKER SET,KETEL ONE VK 80,266100,Non-Listed,6,Actual,6
KETEL ONE SHAKER SET - VODKA IMPORTD - 750 ML,DIAGEO  ( 1967 ),VODKA IMPORTD  ( 3200 ),KETEL ONE VK 80  ( 266100 ),Spirit,750 ML,1967,Vodka,VODKA IMPORTD,3200,KETEL ONE SHAKER SET,KETEL ONE VK 80,266100,Non-Listed,6,Actual,102
KETEL ONE SHAKER SET - VODKA IMPORTD - 750 ML,DIAGEO  ( 1967 ),VODKA IMPORTD  ( 3200 ),KETEL ONE VK 80  ( 266100 ),Spirit,750 ML,1967,Vodka,VODKA IMPORTD,3200,KETEL ONE SHAKER SET,KETEL ONE VK 80,266100,Non-Listed,12,Standard,382
KETEL ONE WITH 2 GLASSES - VODKA IMPORTD - 750 ML,DIAGEO  ( 1967 ),VODKA IMPORTD  ( 3200 ),KETEL ONE VK 80  ( 266100 ),Spirit,750 ML,1967,Vodka,VODKA IMPORTD,3200,KETEL ONE WITH 2 GLASSES,KETEL ONE VK 80,266100,Non-Listed,6,Actual,530
KILBEGGAN (BOTTLED FOREIGN) - IRISH - 750 ML,BEAM SUNTORY  ( 680 ),IRISH  ( 1240 ),KILBEGGAN  ( 795200 ),Spirit,750 ML,680,Whiskey,IRISH,1240,KILBEGGAN (BOTTLED FOREIGN),KILBEGGAN,795200,Non-Listed,12,Actual,32
KILBEGGAN (BOTTLED FOREIGN) - IRISH - 750 ML,BEAM SUNTORY  ( 680 ),IRISH  ( 1240 ),KILBEGGAN  ( 795200 ),Spirit,750 ML,680,Whiskey,IRISH,1240,KILBEGGAN (BOTTLED FOREIGN),KILBEGGAN,795200,Non-Listed,12,Actual,100
KILBEGGAN W/2 GLASSES - IRISH - 750 ML,BEAM SUNTORY  ( 680 ),IRISH  ( 1240 ),KILBEGGAN  ( 795200 ),Spirit,750 ML,680,Whiskey,IRISH,1240,KILBEGGAN W/2 GLASSES,KILBEGGAN,795200,Non-Listed,6,Actual,2
KILBEGGAN W/2 GLASSES - IRISH - 750 ML,BEAM SUNTORY  ( 680 ),IRISH  ( 1240 ),KILBEGGAN  ( 795200 ),Spirit,750 ML,680,Whiskey,IRISH,1240,KILBEGGAN W/2 GLASSES,KILBEGGAN,795200,Non-Listed,6,Actual,5
